posteriorcingulate L-rostralanteriorcingulate R
rostralanteriorcingulate L-rostralanteriorcingulate R
frontalpole L-rostralanteriorcingulate R
lateralorbitofrontal L-rostralanteriorcingulate R
medialorbitofrontal L-rostralanteriorcingulate R
parsorbitalis L-rostralanteriorcingulate R
caudalmiddlefrontal L-rostralanteriorcingulate R
parsopercularis L-rostralanteriorcingulate R
parstriangularis L-rostralanteriorcingulate R
rostralmiddlefrontal L-rostralanteriorcingulate R
superiorfrontal L-rostralanteriorcingulate R
bankssts L-rostralanteriorcingulate R
entorhinal L-rostralanteriorcingulate R
fusiform L-rostralanteriorcingulate R
inferiortemporal L-rostralanteriorcingulate R
insula L-rostralanteriorcingulate R
middletemporal L-rostralanteriorcingulate R
parahippocampal L-rostralanteriorcingulate R
superiortemporal L-rostralanteriorcingulate R
temporalpole L-rostralanteriorcingulate R
transversetemporal L-rostralanteriorcingulate R
inferiorparietal L-rostralanteriorcingulate R
precuneus L-rostralanteriorcingulate R
superiorparietal L-rostralanteriorcingulate R
supramarginal L-rostralanteriorcingulate R
paracentral L-rostralanteriorcingulate R
postcentral L-rostralanteriorcingulate R
precentral L-rostralanteriorcingulate R
cuneus L-rostralanteriorcingulate R
lateraloccipital L-rostralanteriorcingulate R
lingual L-rostralanteriorcingulate R
pericalcarine L-rostralanteriorcingulate R
caudalanteriorcingulate R-rostralanteriorcingulate R
isthmuscingulate R-rostralanteriorcingulate R
posteriorcingulate R-rostralanteriorcingulate R
caudalanteriorcingulate L-frontalpole R
isthmuscingulate L-frontalpole R
posteriorcingulate L-frontalpole R
rostralanteriorcingulate L-frontalpole R
frontalpole L-frontalpole R
lateralorbitofrontal L-frontalpole R
medialorbitofrontal L-frontalpole R
parsorbitalis L-frontalpole R
caudalmiddlefrontal L-frontalpole R
parsopercularis L-frontalpole R
parstriangularis L-frontalpole R
rostralmiddlefrontal L-frontalpole R
superiorfrontal L-frontalpole R
bankssts L-frontalpole R
entorhinal L-frontalpole R
fusiform L-frontalpole R
inferiortemporal L-frontalpole R
insula L-frontalpole R
middletemporal L-frontalpole R
parahippocampal L-frontalpole R
superiortemporal L-frontalpole R
temporalpole L-frontalpole R
transversetemporal L-frontalpole R
inferiorparietal L-frontalpole R
precuneus L-frontalpole R
superiorparietal L-frontalpole R
supramarginal L-frontalpole R
paracentral L-frontalpole R
postcentral L-frontalpole R
precentral L-frontalpole R
cuneus L-frontalpole R
lateraloccipital L-frontalpole R
lingual L-frontalpole R
pericalcarine L-frontalpole R
caudalanteriorcingulate R-frontalpole R
isthmuscingulate R-frontalpole R
posteriorcingulate R-frontalpole R
rostralanteriorcingulate R-frontalpole R
caudalanteriorcingulate L-lateralorbitofrontal R
isthmuscingulate L-lateralorbitofrontal R
posteriorcingulate L-lateralorbitofrontal R
rostralanteriorcingulate L-lateralorbitofrontal R
frontalpole L-lateralorbitofrontal R
lateralorbitofrontal L-lateralorbitofrontal R
medialorbitofrontal L-lateralorbitofrontal R
parsorbitalis L-lateralorbitofrontal R
caudalmiddlefrontal L-lateralorbitofrontal R
parsopercularis L-lateralorbitofrontal R
parstriangularis L-lateralorbitofrontal R
rostralmiddlefrontal L-lateralorbitofrontal R
superiorfrontal L-lateralorbitofrontal R
bankssts L-lateralorbitofrontal R
entorhinal L-lateralorbitofrontal R
fusiform L-lateralorbitofrontal R
inferiortemporal L-lateralorbitofrontal R
insula L-lateralorbitofrontal R
middletemporal L-lateralorbitofrontal R
parahippocampal L-lateralorbitofrontal R
superiortemporal L-lateralorbitofrontal R
temporalpole L-lateralorbitofrontal R
transversetemporal L-lateralorbitofrontal R
inferiorparietal L-lateralorbitofrontal R
precuneus L-lateralorbitofrontal R
superiorparietal L-lateralorbitofrontal R
supramarginal L-lateralorbitofrontal R
paracentral L-lateralorbitofrontal R
postcentral L-lateralorbitofrontal R
precentral L-lateralorbitofrontal R
cuneus L-lateralorbitofrontal R
lateraloccipital L-lateralorbitofrontal R
lingual L-lateralorbitofrontal R
pericalcarine L-lateralorbitofrontal R
caudalanteriorcingulate R-lateralorbitofrontal R
isthmuscingulate R-lateralorbitofrontal R
posteriorcingulate R-lateralorbitofrontal R
rostralanteriorcingulate R-lateralorbitofrontal R
frontalpole R-lateralorbitofrontal R
caudalanteriorcingulate L-medialorbitofrontal R
isthmuscingulate L-medialorbitofrontal R
posteriorcingulate L-medialorbitofrontal R
rostralanteriorcingulate L-medialorbitofrontal R
frontalpole L-medialorbitofrontal R
lateralorbitofrontal L-medialorbitofrontal R
medialorbitofrontal L-medialorbitofrontal R
parsorbitalis L-medialorbitofrontal R
caudalmiddlefrontal L-medialorbitofrontal R
parsopercularis L-medialorbitofrontal R
parstriangularis L-medialorbitofrontal R
rostralmiddlefrontal L-medialorbitofrontal R
superiorfrontal L-medialorbitofrontal R
bankssts L-medialorbitofrontal R
entorhinal L-medialorbitofrontal R
fusiform L-medialorbitofrontal R
inferiortemporal L-medialorbitofrontal R
insula L-medialorbitofrontal R
middletemporal L-medialorbitofrontal R
parahippocampal L-medialorbitofrontal R
superiortemporal L-medialorbitofrontal R
temporalpole L-medialorbitofrontal R
transversetemporal L-medialorbitofrontal R
inferiorparietal L-medialorbitofrontal R
precuneus L-medialorbitofrontal R
